project	customer_id	delivery	folder_name	images
Agoda Bali	239609	https://drive.google.com/drive/folders/0B2QYuPa8WdDsN3gtMUd4TjlvTGs	239609	63
Agoda Bali	239727	https://drive.google.com/drive/folders/0BzVECRdNByQAV2c3QWo0UUtNSjA	239727	100
Agoda Bali	239762	https://drive.google.com/drive/folders/0B1H-4CqQJz7aQ0hUbnBucDd4aWM	239762	41
Agoda Bali	239823	https://drive.google.com/drive/folders/0BzVECRdNByQARjY0WTJfZXZPRk0	239823	89
Agoda Bali	240073	https://drive.google.com/drive/folders/0BwrdIL719n7wWW1WSmlEaVotVG8	240073	51
Agoda Bali	240241	https://drive.google.com/drive/folders/0B6I0mAjGkrndYmprdnBjUUhHZGc	originals	71
Agoda Bali	240289	https://drive.google.com/drive/folders/0BzVECRdNByQAa0hEWmVMRTBPc2M	240289	45
Agoda Bali	240325	https://drive.google.com/drive/folders/0B6I0mAjGkrndY0c1bDFaSC1Dbmc	originals	60
Agoda Bali	240410	https://drive.google.com/drive/folders/0BzVECRdNByQAQ29HMERFajRjM0E	240410	58
Agoda Bali	240473	https://drive.google.com/drive/folders/0BzVECRdNByQAQzhRVDNwbnpiOHM	240473	51
Agoda Bali	240574	https://drive.google.com/drive/folders/0B6I0mAjGkrndeG96c0VlQkN1YWc	original	49
Agoda Bali	240606	https://drive.google.com/drive/folders/0BzVECRdNByQAM01aOGlTTDRsM3M	240606	76
Agoda Bali	241111	https://drive.google.com/drive/folders/0B2QYuPa8WdDseEdLVDk2V2QxSm8	241111	62
Agoda Bali	241338	https://drive.google.com/drive/folders/0B6I0mAjGkrndSDZoNTZwdTRZWTg	originals	62
Agoda Bali	241416	https://drive.google.com/drive/folders/0B2QYuPa8WdDsMzkzbGVkTUxtZTQ	241416	156
Agoda Bali	241417	https://drive.google.com/drive/folders/0B2QYuPa8WdDsWG9JaWU3bEdFMkU	241417	61
Agoda Bali	242011	https://drive.google.com/drive/folders/0BzVECRdNByQAN3loWGVIdldRT0E	242011	65
Agoda Bali	245806	https://drive.google.com/drive/folders/0BwrdIL719n7wa0RLMjE3SGhzM0E	245806 - ASTANA BATUBELIG SEMINYAK	50
Agoda Bali	245848	https://drive.google.com/drive/folders/0B6I0mAjGkrndSGhaOFlEZUladTQ	originals	71
Agoda Bali	246210	https://drive.google.com/drive/folders/0B2QYuPa8WdDsTlZHdHZxVkpoQUk	246210	54
Agoda Bali	247523	https://drive.google.com/drive/folders/0B6I0mAjGkrndWU5rbmlhZGsyZFU	originals	51
Agoda Bali	248078	https://drive.google.com/drive/folders/0BwrdIL719n7wbFJSUDJ5dFlmTkE	248078	40
Agoda Bali	248298	https://drive.google.com/drive/folders/0B6I0mAjGkrndTjIwODRMM3MyMXM	originals	40
Agoda Bali	248406	https://drive.google.com/drive/folders/0B1H-4CqQJz7aTkZHeDRmMGJTWmM	248406	51
Agoda Bali	248457	https://drive.google.com/drive/folders/0B6bhERF4B_DpWWdaWWNCaWx1WE0	1701-PS4-426	34
Agoda Bali	248483	https://drive.google.com/drive/folders/0B2QYuPa8WdDsWnVWSDJPOWNBYUE	248483	43
Agoda Bali	248580	https://drive.google.com/drive/folders/0BzVECRdNByQAWjdIdmU2Q1MxdVU	248580	70
Agoda Bali	251608	https://drive.google.com/drive/folders/0BzVECRdNByQATWxyWVNEZVBQZGs	251608	66
Agoda Bali	251656	https://drive.google.com/drive/folders/0BzVECRdNByQAVlJWSUFNQ2ppeW8	251656	51
Agoda Bali	251668	https://drive.google.com/drive/folders/0BwrdIL719n7wLWpUS2p5dHluQ0E	251668	44
Agoda Bali	251669	https://drive.google.com/drive/folders/0B2QYuPa8WdDsRVQxQWlMcENXLUk	251669_Grania Bali Villas	56
Agoda Bali	251722	https://drive.google.com/drive/folders/0B2QYuPa8WdDseVg0aGxiNmtPa1k	251722	65
Agoda Bali	251732	https://drive.google.com/drive/folders/0BzVECRdNByQAOTZFdlBkdGszc28	251732	101
Agoda Bali	251862	https://drive.google.com/drive/folders/0B2QYuPa8WdDsOXZZa3pISkFlNkU	251862	41
Agoda Bali	251878	https://drive.google.com/drive/folders/0B1H-4CqQJz7aalRxX05EeTNuTzg	251878	61
Agoda Bali	252329	https://drive.google.com/drive/folders/0BzVECRdNByQAVzFCaGp2NHBuM00	252329	48
